,RawScore,ScoreAfterProp
GRM4,0.0270851848642207,0.016420641166317265
CHIT1,0.01392271172309,0.009755410836626104
ZBTB37,0.0085515515641757,0.0030683617714979284
IVL,0.0142736464000542,0.01027006560144877
DRD5,0.018875018972679,0.012617265058935512
EIF4G3,0.026924083161706,0.01956212130915042
MAFF,0.0011811808900266,0.0034865506513960505
ZNF568,0.0195884452440742,0.007529561091677569
SF3B2,0.0157886402992041,0.030749343333281557
RGR,0.0097478745364165,0.0067689973399519595
ACTBL2,0.0077216012989177,0.033242213314196044
TCHH,0.0455670050229174,0.018790233747136845
PPP2R3B,0.0066111159185197,0.009496114983807775
NOS3,0.0268721935374387,0.024939700816475778
KIFC1,0.0128348434092016,0.01706693843364926
NUP153,0.0197658211799017,0.03633142881089768
OSBP,0.0126249101626853,0.011666671374230872
SP100,0.0188466877079144,0.015577366586421547
NFASC,0.0432346111361219,0.026335615069828136
BPI,0.0165324909970775,0.007280238721350309
PCLO,0.1799299306723157,0.06400134868711287
MED28,0.0042054240679706,0.007875758481513218
PACS1,0.0160391543033242,0.008998449454134411
ZFX,0.0085626418775654,0.0032497721445023304
ZNF609,0.016627851874969,0.010104438859197772
KCNB2,0.0538491828265591,0.029191953874815962
NID2,0.0397970678724804,0.025103179435642085
CIC,0.0381969732459567,0.013097400086426163
NOS1,0.0517884856674808,0.027198119206368228
CHRNA9,0.0106174389551253,0.01492331282513865
STAG2,0.0411320612231213,0.029411058546837482
MUC4,0.0631870281350321,0.03143819469309764
TARBP1,0.0205809596764897,0.01019214603795697
GSDMD,0.0065398215386278,0.009557217966690955
QSER1,0.0274147248380115,0.010220899452202371
PDE7A,0.0069842560810604,0.007239749979467821
ITSN2,0.0251941236970819,0.038007062639494285
REPS1,0.0089365536922958,0.009443825270761241
NR4A2,0.0141162537351019,0.013744298161819213
MRPS25,0.0025491376549544,0.005895758963676456
NPLOC4,0.0086704245930038,0.01591241638024543
TBCC,0.0067692300713403,0.0039175319710040325
TMPRSS15,0.0357365032530113,0.012867492626513702
SLC45A2,0.0188755887399706,0.008709971262688349
GID4,0.004059294023895,0.0029534134802931883
TP53,0.6825891257848962,0.315175029720712
ADAMTS17,0.0275005231335879,0.014055499350238242
VWDE,0.0063095508948428,0.0030135576611730543
CLHC1,0.0081101054320823,0.0196636844331923
COL21A1,0.0274694274013247,0.0157641871169487
GTPBP4,0.0126123354737749,0.02312178834511481
YTHDC2,0.0143584208080866,0.024817927196834552
ZFAND4,0.0087988913530924,0.039302934055863374
SRRM2,0.0466240473459825,0.03733893423528794
TENM2,0.0614565164825962,0.04001909521558017
SYNE1,0.2033619039765674,0.08399360599185275
MMP15,0.0111699320244516,0.009065794747679044
SALL2,0.0166914678276302,0.009665682573606421
IRGQ,0.0093395835564131,0.004540280035775248
APEX1,0.0042075583337961,0.013576015812719342
CPD,0.0143148210390175,0.010056977657569206
SCN10A,0.0710179902730082,0.03810746988728487
SPEN,0.0677796911111136,0.028353430439671312
TRIM37,0.0141781233370535,0.009657909188673337
VAMP4,0.0009020835494199,0.018125575721681924
PPIL6,0.0029524346816425,0.008839096007848693
CARD10,0.0120658542855537,0.009065410418931635
GPR85,0.0097383598784582,0.003215416763123054
SUGP2,0.0206523738236021,0.008446418997573504
COL11A2,0.0365494365852387,0.022548322709830083
VPS13C,0.0467371602332661,0.021296942967066905
KL,0.0213479953727871,0.019887976568008805
SON,0.034289280234382,0.017315414029707862
RANBP9,0.0067659568938465,0.014433543089625557
MTCL1,0.0176896554247585,0.007256536110644703
ILDR2,0.0179991369937433,0.006071096660367155
NSD1,0.0439687151272679,0.02366697626716935
PITPNM2,0.0214845939371414,0.011456672983461869
KCND1,0.0131824928354021,0.019018780601898874
FKBP15,0.0127901711765247,0.025117148364700467
MCF2,0.0296196146595238,0.018304028124522913
GOLGA1,0.0084383495369638,0.012509473410581444
MYB,0.0133950351347861,0.033574278322568096
KIAA0100,0.0311466530080012,0.010468085294200765
EIF2AK3,0.0193962991514402,0.014841242425769709
BIRC6,0.0630911209771399,0.05008192220316658
TNN,0.0604094221762999,0.03807912963148333
TOP1MT,0.0098174226864901,0.010941063060930515
HMCN1,0.1493149238764915,0.05718801275646895
MDC1,0.0298955775636007,0.03476651747419379
CDKL1,0.007962449578347,0.0034745782566072475
SEC24A,0.017492027551216,0.022762635881761153
MUC16,0.4017869437555241,0.13562910353000354
NLRP12,0.0391923966944487,0.01956383908572272
OPN5,0.0131908876170134,0.0073988628662071485
KCNK6,0.0056726001935113,0.006663706151590746
MME,0.0259458850759861,0.013928962069731085
SLC26A11,0.0151642228272791,0.007996944579389438
ATP6V0A2,0.0103175561078148,0.01247958760437834
HN1,0.0012798584097268,0.0010296513629405924
FUT7,0.0038127664860077,0.0050675183539440035
SCN5A,0.0593667585153564,0.03852478739593487
SLC6A19,0.0180332146398262,0.01067845235843726
PIK3CA,0.228455847494587,0.13640285895901538
INSM2,0.006638847519045,0.003968726101858084
FAM160B1,0.0112941392630538,0.003764951552608999
PDE8B,0.0206059413297325,0.013621246859864542
MEF2C,0.0154197545044506,0.03306590151554026
MRGPRX4,0.0155632660612809,0.004999352732181603
ADCY7,0.0202328016010099,0.025867934823907267
CLUL1,0.0104242359957557,0.004920873781626378
CPSF3,0.0115305610166289,0.014537441015698269
SLC4A4,0.032405647224395,0.016783407641304073
ZDHHC15,0.0109628781035747,0.004446453315759385
BHMT,0.0090213931238725,0.005643065181842778
GPATCH8,0.0232254340708762,0.02582982934682338
ACTL6A,0.0091891692699573,0.04417698904917954
CGNL1,0.0278435236663407,0.009521062440751273
DPYS,0.0225528778518611,0.010191551966577679
LYVE1,0.0063268167338073,0.005237500085971417
ESPL1,0.0356889374554058,0.016216360555804585
NOTCH2,0.0445669251662533,0.03394750995196451
XPO1,0.0191858553875112,0.04365756848778692
ZNF608,0.0253215685242943,0.009324787191158927
ZNF644,0.0200848037080635,0.008399620979300167
TXNRD1,0.008704452788461,0.021112521288380606
PRMT6,0.0062286001064371,0.011488783281668337
ABCA12,0.0659928602775994,0.025612258503767405
ZNF121,0.0078850861378145,0.0030395127735453028
CCDC77,0.0062585464661068,0.0032742547761355177
EXPH5,0.0392940053804379,0.012835965219967995
TCTN2,0.011484275225596,0.007491459837378223
ZNF638,0.0289846603006361,0.0118634197587995
HP,0.0039816399413246,0.012920341840601379
HYDIN,0.0838810207502079,0.028313994338107794
WHAMM,0.006741988287287,0.004450896689349593
NOC2L,0.00641873238806,0.01151362798835772
MIB1,0.0158715712102255,0.0931429895297793
ITIH1,0.0255722542634549,0.010550280907602603
WNT7A,0.0153706421794449,0.011014618724059573
PDE5A,0.0131747006711107,0.01303748481771778
RYR2,0.2126463787797365,0.08491104773221185
CP,0.0181502719800657,0.014649971459491
PATZ1,0.0098820476310966,0.005648038019059053
MAB21L1,0.0103000809448412,0.004457226243388431
DGKG,0.0206949774912124,0.012584872730143713
CABS1,0.0152822609533485,0.005377062438729786
POLD3,0.0088969353030604,0.014248161479362932
ANK2,0.1060924239599021,0.05455289406720916
DMD,0.1086437718643335,0.05984943048519322
ATP5C1,0.005667942602298,0.015683274626961563
GABARAPL1,0.0015131529494141,0.01751864863463869
LGI1,0.012051483953138,0.009099804895399792
TRPM6,0.0524970552856497,0.02048871960610356
HLA-DQA1,0.0023522836848274,0.010280426593228706
TRRAP,0.0666206734861769,0.05104418361317686
DPYSL3,0.0092870122069677,0.010663374889198418
KMT2C,0.0971967749144537,0.04556374747778021
PCDHGB1,0.0224069022079964,0.017566322946374474
PTPRK,0.0331974650651125,0.03518396471804375
UIMC1,0.0127618448799843,0.011956432802263939
ABAT,0.0127618851958467,0.01435665042298143
LAMA1,0.0894205644493893,0.04552531442907208
FBXO33,0.0040126834247434,0.002131668849633373
MTPAP,0.0100265930353566,0.008284834954858124
CTTNBP2,0.0375467501932856,0.017682165116007495
MCAM,0.0112135533453677,0.010237177241392448
COQ7,0.0027253935747145,0.004163514697928944
HUWE1,0.0735105359167006,0.054875890143727804
NLRP11,0.0323280063076863,0.015124024644228008
BOD1L1,0.0432026094065906,0.015792148354328853
SDK2,0.0407464783269906,0.032250469214004054
ZNF415,0.0145425126515644,0.005821524180577501
TADA2B,0.0079571681001245,0.020471369489527835
DDX59,0.0094002383610023,0.016282686781638616
NRIP2,0.0053858132251541,0.004423263615936228
DUSP16,0.0105451171813875,0.011947218381755373
MRPS5,0.0067549482872946,0.0285878252956039
SPEF2,0.0542650937383644,0.020721075241527255
MLLT10,0.017403285918154,0.00827093717099558
TEX14,0.0278069855161668,0.012060775725265375
ZNF605,0.0047961566218881,0.002762970783883252
ATP8B2,0.0219380117564695,0.01114794002172895
METTL25,0.0088416237644732,0.0032549648374038138
PPP1R26,0.0155546288559776,0.005194188900757744
TRNT1,0.003588972471354,0.004563402685903455
C14orf37,0.0151306991024286,0.004946725651797411
SCLT1,0.011229418702401,0.008840902719330712
SI,0.1006490449139465,0.04094915379097297
RAPH1,0.0137781889504249,0.00938695692069269
KIAA1109,0.0745391248204866,0.02505559105747858
COL6A3,0.1020361253558006,0.04101950781884699
TBC1D32,0.0257978711542416,0.00932187344011846
MAGI2,0.0436460230072358,0.028236633101223308
SH3BP5L,0.0106354784893532,0.004871668415928208
PRAME,0.0149651671112263,0.00722085489027054
CYP11B2,0.0163007277996287,0.010391631025893765
ATP2B3,0.0389900595548425,0.02658370905676817
PKD1L1,0.0619874215980584,0.019867350459345894
PON1,0.0120633768210503,0.009796688173312642
TRIM8,0.0101340376782348,0.0076915628664273525
DNAH11,0.1115079350472798,0.04037587219436824
PKHD1,0.1091589992386179,0.03471377348974884
KRT83,0.0066098799378254,0.004971473556601583
DDX47,0.0061238407742584,0.01863983968312099
CNKSR1,0.0144170780903549,0.012312094188651595
HSD17B13,0.0050860049668698,0.0038984524142193387
OR10Q1,0.0201627922346716,0.012241444984704766
ZNF317,0.0110307148188004,0.005997147595836879
WHSC1L1,0.0222496065971851,0.01636772821882862
DGKD,0.0195033033731777,0.012356887338993086
ACVR1B,0.018378298989093,0.019945593396813052
RHPN1,0.0093558072330979,0.01586302454401663
AHNAK2,0.0829551209815472,0.0274773242888065
ZNF205,0.009011937060366,0.004250334571403914
PPP2R5E,0.0065667471151545,0.026622994692074735
CUBN,0.0966893794040481,0.04420007120431792
CTAGE1,0.0174260219601096,0.00551643938453484
CAPN9,0.0116308653654964,0.009326787700746735
PNPLA7,0.0212997067469558,0.013842604039634984
TTN,0.6840695225151892,0.24087542372334303
RASAL2,0.0270412952409748,0.021944130706221823
RBP4,0.0053492617159334,0.008982053450679895
EPYC,0.0079198395398667,0.009064821928175724
DIEXF,0.0131596522127827,0.010840788729579227
GPR157,0.003569039670129,0.001186089948119718
LHX3,0.0049008151385942,0.01225466108956583
ANXA13,0.0087440564625962,0.005951503903048067
TTC28,0.0068953990913803,0.014514150953153837
IPO4,0.0108597531258723,0.014230949015276056
SLC5A3,0.0115277785025071,0.006855654725146267
ABCB11,0.0265942037455094,0.01429734887442724
WNK3,0.0337270611254923,0.015922988586927856
CRLF3,0.005932136982454,0.0031580679763347197
DNAH9,0.1219914092850926,0.045469842559919975
AGAP3,0.0145456272480357,0.007935297029847186
SH3PXD2B,0.018236866637763,0.019894082424665116
TUSC5,0.0063385781626344,0.002517058412417416
RASA1,0.0245781803217176,0.02507148288283753
BRD3,0.0096628590568815,0.024766479939395656
CYP4F12,0.0223063654273668,0.014348093330339618
BPIFB4,0.0162461953663824,0.006965487356510339
INTS5,0.0171767755613831,0.011065646409571686
WDR13,0.0119952352262576,0.017082932335240032
LNPEP,0.0136575207174001,0.015083837768808183
KIRREL,0.024149322688109,0.015695277552161192
TRPT1,0.0027680435987085,0.0012230892508455077
FERD3L,0.0163106346660179,0.006051697511104673
AP5B1,0.0042349377549196,0.0036285187270546516
DNMBP,0.0249548529041236,0.028356192333557177
GMPR2,0.0038046564059349,0.005525459554543704
HSPBP1,0.0055065792756861,0.018122289244733403
DZIP3,0.0252565776538176,0.01570382262831608
CHD9,0.0343266204723871,0.030311592729739864
C9orf50,0.0050504074400299,0.0016065657014824387
PDCD11,0.0305468297754332,0.025926810484000896
ZC3HC1,0.0127137823074749,0.006294767610160174
WDR44,0.0172763216060837,0.0072529773012581095
SLC52A2,0.0080030760863906,0.004458177933810396
CCDC39,0.026389612271086,0.010442189064728526
HNRNPM,0.0108268146578606,0.028398893815850364
ST3GAL6,0.0099538622604563,0.009630728086122383
CIITA,0.0204679533253974,0.010628819867863234
KCNH8,0.0383961673740827,0.014226926635684034
TCOF1,0.016137746623546,0.009202184025881108
HAO2,0.0117546753820616,0.007223772163941556
PSORS1C1,0.0023346825642924,0.0007988399907451092
WFIKKN1,0.0062956001160009,0.007450879070317294
ITIH3,0.0165290791921703,0.007096291543623563
TFPT,0.0037164861994291,0.005199914989436902
DGKZ,0.0123112239215028,0.013118063764253216
C1orf95,0.0035592390182873,0.001437650567913155
LOXL4,0.0138537396300917,0.008312114460107746
KIF2A,0.0088046914397937,0.022070094071472666
BLK,0.0150780294603674,0.01500319745305154
CHD2,0.0291161560746535,0.023134323765980683
AIRE,0.0073652850141507,0.016016542921949702
MAMLD1,0.0185583441803965,0.014274401463112717
NAT1,0.0043356380632203,0.0038318861854812923
GPRASP1,0.0284889734742444,0.010417996693042315
PLCB1,0.0439106160350856,0.034452635568488085
SUCLG1,0.006350308046865,0.00962689342201746
PDE4DIP,0.0466929071380513,0.020620155480674557
PLEKHA2,0.0076671549454725,0.007260058656818225
OPN4,0.0112510915025738,0.008917642637674287
ATP13A5,0.0314989867925118,0.013002140695606006
PRG3,0.0059546040579021,0.0039626966967297
CD248,0.0136550055456786,0.0048294990832507875
ZAN,0.0560542879464984,0.019190134504256242
DONSON,0.0079553921944203,0.004211398092360581
ZNF571,0.0100452885921977,0.00459637627397756
XIRP2,0.1418063957587759,0.050368199041931995
MOSPD2,0.0078157992064652,0.011686370478761806
IQCA1,0.0138480220657692,0.01270693721275956
MIDN,0.0079308874633171,0.0033078884919399095
TFCP2,0.0079935339752234,0.016589319453068328
SIX4,0.0101308649297076,0.004636560156096651
FEM1B,0.0067102885713491,0.008057906896431162
SARDH,0.022443728273367,0.009447157195586189
COL4A2,0.0320191066060297,0.029909456575934752
NOTCH4,0.0451813510626028,0.024236566672893877
GDPD4,0.0086186739659674,0.0031497909955677823
RSPH6A,0.0197330038257194,0.0077869254262255645
ZNF836,0.0147467804384182,0.004944687988654065
SELK,0.0019094408800842,0.0016672995934699044
TUBD1,0.0073856717225131,0.01704109005831669
NOTCH1,0.066672119207753,0.06247037921532775
MLLT6,0.0125181269546916,0.007377794477068506
CCDC82,0.0088797913334947,0.003235286390405664
GRB14,0.0121662540778207,0.009981064216437772
SLC12A5,0.0332196107037401,0.01700699561621135
NLRP3,0.0606372513502297,0.03558181784826295
EGFR,0.0790925913071083,0.1141540159372465
SMG6,0.0155532084377205,0.011776865169303551
CEP104,0.0147726316662348,0.005360361958478815
CTSE,0.0084219730127246,0.00853373877564216
LSS,0.0103133914674123,0.013528901417596575
PRPF31,0.0070877551114395,0.022469879727676317
HTRA4,0.0059966152359159,0.011377715575958137
GRIN3B,0.0098253948482753,0.010391221511372551
TRIP12,0.037573654669545,0.031813389081367244
BHLHB9,0.0120038233431382,0.003903693200444772
SALL3,0.0372450781144898,0.022856262577711273
CD320,0.0034636022175824,0.008609862308517863
APOH,0.0091373456040034,0.009236410493479688
CRHR2,0.0119708093215609,0.01126185381948706
MPHOSPH10,0.0118086017237529,0.01194783054788646
YLPM1,0.0295904876641916,0.012447306453213309
RYR1,0.132527107235735,0.06183278021585232
GNE,0.0098667365947758,0.008707130614508696
TMTC2,0.0196794620577222,0.012529307803459237
CDH13,0.0191012806403742,0.016072185361248065
DBF4B,0.0093852852049478,0.006026967251504391
FBN3,0.0665301909585333,0.029097156550174984
SCP2D1,0.0069024976226674,0.0035894813855298574
PLG,0.0286214010983966,0.025071661041279683
SEPT6,0.0101394627551971,0.007535310715618764
ZFP64,0.0219562285607169,0.008689474091047642
TLN2,0.0467638860166384,0.024191018324494946
ROR2,0.0279831051544527,0.02305177622103933
TOP3A,0.0166679237605686,0.02138140327108692
KIAA0226,0.015812423227155,0.008358209252177281
ZNF579,0.0052193390980933,0.0028779101522185702
ZNF200,0.0081626160240437,0.00433062661396879
BEST3,0.0228081815014505,0.013681058562165917
MUC5B,0.056464112171609,0.03113705360634926
MDN1,0.0826980198538598,0.03498544288868691
ZDBF2,0.0496290589982389,0.015871465934490358
ITGA11,0.0238858771487216,0.013351553661194372
RARRES3,0.0037058775114874,0.001985506585300486
NEUROD4,0.0191112680638401,0.006693726612628138
RNF39,0.0034525639445874,0.0016082994543377524
VANGL1,0.0082667151200832,0.020727172933867527
LMX1A,0.0190962880776381,0.01247482099874233
CAMKK2,0.0114865790037136,0.014676885973686224
STXBP5L,0.03536827446073,0.01927712843490933
SMG8,0.0169173154671673,0.007514305286073895
C8orf58,0.0056252128699455,0.001786302411491766
GABRG3,0.0224630273895045,0.014720455233524419
ARID4B,0.0231039931961218,0.026647942830260642
SRPK3,0.0097959302541369,0.014586843908962865
NPC1L1,0.0290819866935657,0.014223396230622999
CAPRIN1,0.009368430619173,0.011766895892175142
SPEG,0.0498624610353985,0.02850829290908475
CACNA1C,0.0685319908409527,0.04269136080904302
TAF15,0.0087729690016675,0.014231779209173467
RNF214,0.0100778796422708,0.007955539675266323
GRIN2A,0.0779212114711415,0.04172039499597302
RGS20,0.0102853016497674,0.010876544600636244
GPR155,0.0143786267447435,0.0045691918897675645
SDE2,0.0074690706565276,0.007676274800255754
ARID4A,0.0194657325602896,0.022476092037985607
GPR98,0.1196687236962568,0.042358717100799866
EDC4,0.0214277927776471,0.011982092666249536
TULP2,0.0128540231235722,0.00544430231230433
HSPA8,0.0073763979044989,0.08094882392049334
PCNXL2,0.0424439013416494,0.013451352309329846
TENM4,0.057721550980526,0.03395965713208117
SERINC5,0.008225419303338,0.0038055272572207043
DNAH6,0.022896330432867,0.013250292294658291
PYGB,0.0160710416885487,0.015100247675936887
KCTD3,0.0141629474722286,0.008762802647611923
BOC,0.0298122741321764,0.016890873698132074
IRS4,0.0374956768801793,0.02007941620902872
NEDD4L,0.0165713903681257,0.041448120992550776
PARP12,0.0128397339599992,0.0051263427190091845
LRCH1,0.0145689924467452,0.011516765906142683
B3GAT3,0.0059335017956851,0.008049075499102155
OBSCN,0.1119997636820912,0.051395091414074064
SLC15A1,0.0173358941561683,0.009760024380014975
HDX,0.023756700131505,0.007486019270810718
ARSF,0.0237024565443487,0.011281783726799905
NUP98,0.0267473823486933,0.048749696237118945
TRAPPC11,0.0120571659361885,0.007574591261725403
PRPF3,0.0075138689361841,0.019770931648892126
EIF4G2,0.0160128937311307,0.015515447270109839
KIT,0.0295101253903678,0.026130796480668843
FNDC1,0.045722905066881,0.020749119269030128
GON4L,0.0238223326325059,0.008655963439893354
TRPM3,0.0436841228517556,0.0180542572892282
TTC21A,0.016400463432216,0.007330165944595686
SPARCL1,0.0105548407389379,0.006722807290729692
STAT3,0.0196984691390388,0.06429720899514921
EIF5,0.009352844060497,0.011555297304881047
TNPO3,0.0127078538956961,0.010456938816820686
SNX31,0.0086048800955371,0.004938187377969828
PCDHAC1,0.0251883996221518,0.010183445148872261
STARD8,0.0223825710550736,0.01212051698786594
IER5L,0.0013604625381493,0.0004715347318578562
CLNK,0.0086441768712263,0.005764354250480343
TAS1R3,0.0108012534417373,0.009890773963121654
CEP120,0.0100132643886741,0.0044815557921850276
MAPK1,0.0089637871849719,0.08574274281761472
APCDD1L,0.0112449943626264,0.0036558693597998934
ZNF544,0.0117199795359453,0.005299319540842385
KREMEN1,0.0072364298835662,0.007816895261147977
GAB4,0.0206580803881321,0.010593817882326655
PIWIL3,0.0190878313944306,0.010743165546317164
NOX1,0.012459632052285,0.018212687973201
TRAF3IP3,0.0136423211902586,0.006420908618715797
PDE1C,0.0405930587312117,0.021446307353641413
REV3L,0.0360236521616369,0.02009809221369968
OR51T1,0.0153498743986843,0.010751867286300707
FLNC,0.0630206303298732,0.040458146009372316
FOXP3,0.0077772532113186,0.04014870789447182
CNTN2,0.0248645478391254,0.019918841912355545
OXR1,0.0125399002369755,0.006478538233965684
CES2,0.0102245165148649,0.011999099608675288
DDO,0.0100311163028901,0.00846820627587283
DLX6,0.006986976013726,0.007284074691716255
PFKFB3,0.0105939970148455,0.00853896435215645
LOX,0.0065205777993535,0.010096744831713848
CFAP46,0.0073617580596181,0.0030250587246745176
HIPK4,0.0131324878606553,0.008441752084567624
PUF60,0.0064483484238195,0.011523699494891338
TMEM89,0.0035456110532814,0.0011602804329735648
B4GALNT4,0.0143764796867451,0.0049955579041104994
SF3B1,0.0431057497186738,0.044748479121096814
HIST1H3B,0.0113249314333442,0.022073047726319628
ASB11,0.0073235784805005,0.00793639990590588
SYNM,0.015523015448865,0.008544268102687486
ADAMTSL3,0.0467452009229839,0.020812107798255024
INF2,0.0114206922383231,0.01925435692122248
ANKMY1,0.0147979350640136,0.004668438175797851
POLK,0.0107778961563216,0.01312650223140974
KRBA1,0.0146760487148404,0.006239179173857132
HEATR1,0.034523692046016,0.018641278780054348
MB21D2,0.0175024629040513,0.006220961037273876
KIAA1407,0.0166751578099506,0.005272406635579868
ROBO1,0.0478252423044262,0.03571823129913794
RHCG,0.0102109962402889,0.006669916457271539
GDF9,0.0068178997842456,0.006795686132872238
KDM4A,0.0139475689231501,0.014694189083274248
COL20A1,0.0197012015060515,0.01342664152527836
CNTLN,0.0272891539081454,0.013652932617900817
SLC4A10,0.0317533999267419,0.014897321279543997
PAF1,0.0099600466029308,0.015645036139696453
MAPK8IP3,0.0210595183846963,0.014149213303259628
PCSK5,0.0285570214448513,0.01718801346307145
KRTAP27-1,0.0118844779232019,0.004630294079513943
