,RawScore,MutRate,ScoreAfterNP,Predicted by MutNet,Predicted by MutRate,Predicted by ActiveDriver,Predicted by MutSigCV,Predicted by MuSiC,Predicted by OncodriveCLUST,Predicted by OncodriveFM,Predicted by OncodriveFML,Predicted by TUSON,Predicted by 2020+,Predicted by EMOGI,Predicted by HotNet,Predicted by OMEN,Collect by Cancer Gene Cosmic,Collect by OncoKB,Collect by Cancer Gene (q<0.25),Collect by KEGG cancer pathway,Community
SLC9C2,0.0280784012676481,0.013516927741283477,0.03778839374337005,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
CACNA1G,0.04025432831346872,0.01819100555836281,0.02651870443966658,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
TRPC6,0.026774557688197025,0.012001010611419907,0.0244869790950312,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
SPTBN2,0.03807624999069157,0.01667508842849924,0.03363920346044681,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
SPTA1,0.1488273279526329,0.06720565942395149,0.06567832296436404,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,1
SPTBN4,0.04002890195935745,0.01793835270338555,0.03033693507305013,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,1
NCAM1,0.022694488737055117,0.010358767054067712,0.02846585280905865,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
CACNA1F,0.036456712850271335,0.016927741283476502,0.023583083553760383,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
NOS1,0.051788485667480816,0.0231177362304194,0.027198119206368228,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
HCN1,0.06823523937670681,0.03031834259727135,0.02471780936411712,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
CACNA1A,0.04459223552763167,0.02008590197069227,0.032669702174694226,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,1
ITPR1,0.03827534744728015,0.016801414855987868,0.047712024386939264,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,1
PLD1,0.0244676523250983,0.011116725618999495,0.023669734315551232,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,1
ITPR2,0.047516970370352636,0.02084386053562405,0.039167400709322564,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,1
ANK3,0.09337233776077393,0.04156139464375948,0.05124287507387089,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,1
SCN2A,0.047028294107858463,0.021222839818089943,0.03191463994943231,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
SCN3A,0.04984258200978778,0.02248610409297625,0.032829472963188035,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
CNTN6,0.050317765120078135,0.022359777665487617,0.023478877576900974,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
CACNA1B,0.0477346523047676,0.0214754926730672,0.03041230837225872,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1
GABBR2,0.023404933974509944,0.01023244062657908,0.022608582702696615,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
PPP1R3A,0.055857769891468526,0.025138959070237492,0.0236816847729014,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
CACNA1S,0.05188419714213752,0.023244062657908036,0.03281281193351217,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
ANK2,0.10609242395990212,0.04813036887316827,0.05455289406720916,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,1
SCN5A,0.059366758515356416,0.026654876200101058,0.038524787395934866,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
NBEA,0.04964019652983502,0.02210712481051036,0.02531422467418319,True,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,1
PLCB4,0.04644830449265161,0.02084386053562405,0.027115747485921056,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,1
CHL1,0.04272661327539235,0.019201616978271854,0.02528480877710269,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
NME8,0.02459743966228482,0.011622031328954016,0.028888265398103533,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
ABCB1,0.04897117229676277,0.02210712481051036,0.022434685433000805,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,1
ITPR3,0.04595301689078846,0.019959575543203642,0.046088040643328776,True,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,1
GOLGB1,0.05155940591382111,0.022612430520464882,0.025141180564491262,True,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,1
ADCY9,0.028829525910179045,0.01250631632137443,0.029621946044547282,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,1
GRM8,0.04911521903215769,0.02172814552804447,0.022764581301014,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
ATP2B3,0.03899005955484255,0.017559373420919656,0.026583709056768167,True,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,1
ATP2B2,0.040560831833442515,0.01819100555836281,0.03149995286649841,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
CNTN1,0.03974958323953274,0.017685699848408287,0.0247126084618588,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
TRPC7,0.03200474133753007,0.014274886306215259,0.02440788536295374,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1
CACNA1I,0.035393993227890365,0.01629610914603335,0.024615505837857862,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1
PLCG2,0.028492877590904707,0.01263264274886306,0.0353072153742852,True,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,1
TRPC4,0.03863859573537677,0.017306720565942398,0.024551711096169656,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
